;Country;Servings od beer;Servings od spirit;Servings of wine;Total servings of alcohol
84;Jamaica;82;97;9;188
85;Japan;77;202;16;295
86;Jordan;6;21;1;28
87;Kazakhstan;124;246;12;382
88;Kenya;58;22;2;82
89;Kiribati;21;34;1;56
90;Kuwait;0;0;0;0
91;Kyrgyzstan;31;97;6;134
92;Laos;62;0;123;185
93;Latvia;281;216;62;559
94;Lebanon;20;55;31;106
95;Lesotho;82;29;0;111
96;Liberia;19;152;2;173
97;Libya;0;0;0;0
98;Lithuania;343;244;56;643
99;Luxembourg;236;133;271;640
100;Madagascar;26;15;4;45
101;Malawi;8;11;1;20
102;Malaysia;13;4;0;17
103;Maldives;0;0;0;0
104;Mali;5;1;1;7
105;Malta;149;100;120;369
106;Marshall Islands;0;0;0;0
107;Mauritania;0;0;0;0
108;Mauritius;98;31;18;147
109;Mexico;238;68;5;311
110;Micronesia;62;50;18;130
111;Monaco;0;0;0;0
112;Mongolia;77;189;8;274
113;Montenegro;31;114;128;273
114;Morocco;12;6;10;28
115;Mozambique;47;18;5;70
116;Myanmar;5;1;0;6
117;Namibia;376;3;1;380
118;Nauru;49;0;8;57
119;Nepal;5;6;0;11
120;Netherlands;251;88;190;529
121;New Zealand;203;79;175;457
122;Nicaragua;78;118;1;197
123;Niger;3;2;1;6
124;Nigeria;42;5;2;49
125;Niue;188;200;7;395
126;Norway;169;71;129;369
127;Oman;22;16;1;39
128;Pakistan;0;0;0;0
129;Palau;306;63;23;392
130;Panama;285;104;18;407
131;Papua New Guinea;44;39;1;84
132;Paraguay;213;117;74;404
133;Peru;163;160;21;344
134;Philippines;71;186;1;258
135;Poland;343;215;56;614
136;Portugal;194;67;339;600
137;Qatar;1;42;7;50
138;South Korea;140;16;9;165
139;Moldova;109;226;18;353
140;Romania;297;122;167;586
141;Russian Federation;247;326;73;646
142;Rwanda;43;2;0;45
143;St. Kitts & Nevis;194;205;32;431
144;St. Lucia;171;315;71;557
145;St. Vincent & the Grenadines;120;221;11;352
146;Samoa;105;18;24;147
147;San Marino;0;0;0;0
148;Sao Tome & Principe;56;38;140;234
149;Saudi Arabia;0;5;0;5
150;Senegal;9;1;7;17
151;Serbia;283;131;127;541
152;Seychelles;157;25;51;233
153;Sierra Leone;25;3;2;30
154;Singapore;60;12;11;83
155;Slovakia;196;293;116;605
156;Slovenia;270;51;276;597
157;Solomon Islands;56;11;1;68
158;Somalia;0;0;0;0
159;South Africa;225;76;81;382
160;Spain;284;157;112;553
161;Sri Lanka;16;104;0;120
162;Sudan;8;13;0;21
163;Suriname;128;178;7;313
164;Swaziland;90;2;2;94
165;Sweden;152;60;186;398
166;Switzerland;185;100;280;565
167;Syria;5;35;16;56
168;Tajikistan;2;15;0;17
169;Thailand;99;258;1;358
170;Macedonia;106;27;86;219
171;Timor-Leste;1;1;4;6
172;Togo;36;2;19;57
173;Tonga;36;21;5;62
174;Trinidad & Tobago;197;156;7;360
175;Tunisia;51;3;20;74
176;Turkey;51;22;7;80
177;Turkmenistan;19;71;32;122
178;Tuvalu;6;41;9;56
179;Uganda;45;9;0;54
180;Ukraine;206;237;45;488
181;United Arab Emirates;16;135;5;156
182;United Kingdom;219;126;195;540
183;Tanzania;36;6;1;43
184;USA;249;158;84;491
185;Uruguay;115;35;220;370
186;Uzbekistan;25;101;8;134
187;Vanuatu;21;18;11;50
188;Venezuela;333;100;3;436
189;Vietnam;111;2;1;114
190;Yemen;6;0;0;6
191;Zambia;32;19;4;55
192;Zimbabwe;64;18;4;86
